id_geografico,nombre,poblacion_total,poblacion_mayor_de_25,ingreso_medio,valor_medio_de_vivienda,educacion,poblacion_blanca,poblacion_afroamericana,poblacion_nativa,poblacion_asiatica,nativo_hawaiano,alguna_otra_etnia,dos_o_mas_etnias,poblacion_hispana_o_latina,ciudad,area_metropolitana
11001007903,"nombre 79.03, Distrito de Columbia, Distrito de Columbia",1971,1401,8058800,43960000,66800,39700,1433,0,30,0,8,5000,53,Washington,Washington-Arlington-Alexandria
11001008904,"nombre 89.04, Distrito de Columbia, Distrito de Columbia",3680,2630,3322800,27810000,48500,20900,2904,0,24,0,0,6000,483,Washington,Washington-Arlington-Alexandria
11001007406,"nombre 74.06, Distrito de Columbia, Distrito de Columbia",3254,1452,2468800,25000000,11500,200,2904,0,0,1600,0,4000,292,Washington,Washington-Arlington-Alexandria
11001007200,"nombre 72, Distrito de Columbia, Distrito de Columbia",5154,4345,10960500,53000000,355000,329100,1296,0,160,0,0,11700,290,Washington,Washington-Arlington-Alexandria
11001007401,"nombre 74.01, Distrito de Columbia, Distrito de Columbia",2262,1154,1456600,25520000,9100,4900,2139,0,26,0,0,0,48,Washington,Washington-Arlington-Alexandria
11001007403,"nombre 74.03, Distrito de Columbia, Distrito de Columbia",3187,1738,2576100,23130000,16900,4100,3054,0,0,0,11,0,81,Washington,Washington-Arlington-Alexandria
11001007604,"nombre 76.04, Distrito de Columbia, Distrito de Columbia",4256,3126,5433800,41210000,79200,13200,3793,906,21,0,20,5800,160,Washington,Washington-Arlington-Alexandria
11001007808,"nombre 78.08, Distrito de Columbia, Distrito de Columbia",3949,2309,3171400,22640000,38800,0,3804,0,8,0,0,3200,105,Washington,Washington-Arlington-Alexandria
11001008302,"nombre 83.02, Distrito de Columbia, Distrito de Columbia",2547,2030,12916700,75380000,158800,174000,514,1,146,0,3,7000,73,Washington,Washington-Arlington-Alexandria
11001009503,"nombre 95.03, Distrito de Columbia, Distrito de Columbia",3144,2335,10460300,47820000,129500,57700,2432,0,34,0,0,4400,57,Washington,Washington-Arlington-Alexandria
11001009604,"nombre 96.04, Distrito de Columbia, Distrito de Columbia",2204,1758,5601000,19840000,0,5100,2059,9,0,0,5,2400,871,Washington,Washington-Arlington-Alexandria
11001009700,"nombre 97, Distrito de Columbia, Distrito de Columbia",3255,3117,3177100,26190000,22700,2300,3207,0,0,0,8,0,17,Washington,Washington-Arlington-Alexandria
11001009807,"nombre 98.07, Distrito de Columbia, Distrito de Columbia",3369,2299,4145200,23480000,47700,11800,906,0,0,0,0,1900,3,Washington,Washington-Arlington-Alexandria
11001000502,"nombre 5.02, Distrito de Columbia, Distrito de Columbia",3296,2665,12977900,101150000,232000,250400,93,20,121,1800,0,6900,491,Washington,Washington-Arlington-Alexandria
11001001803,"nombre 18.03, Distrito de Columbia, Distrito de Columbia",4176,2836,5118200,48550000,87300,30100,2547,23,17,0,6,4300,1239,Washington,Washington-Arlington-Alexandria
11001001902,"nombre 19.02, Distrito de Columbia, Distrito de Columbia",4540,1991,8958300,51490000,79600,208508,1666,6,15,0,0,7000,452,Washington,Washington-Arlington-Alexandria
11001002701,"nombre 27.01, Distrito de Columbia, Distrito de Columbia",6173,3117,7230800,0,288500,278600,1133,31,143,0,0,25300,1846,Washington,Washington-Arlington-Alexandria
11001002801,"nombre 28.01, Distrito de Columbia, Distrito de Columbia",4169,2992,5356800,41150000,138500,114700,1541,0,92,0,0,5300,1336,Washington,Washington-Arlington-Alexandria
11001007804,"nombre 78.04, Distrito de Columbia, Distrito de Columbia",4121,2635,5106500,30100000,46000,400,3976,0,9,0,0,11000,22,Washington,Washington-Arlington-Alexandria
11001008001,"nombre 80.01, Distrito de Columbia, Distrito de Columbia",3125,2418,0,62220000,186600,0,779,0,106,0,10,13700,93,Washington,Washington-Arlington-Alexandria
11001005500,"nombre 55, Distrito de Columbia, Distrito de Columbia",6864,5575,7930600,71350000,501400,208508,405,60,704,0,0,21200,576,Washington,Washington-Arlington-Alexandria
11001006202,"nombre 62.02, Distrito de Columbia, Distrito de Columbia",72,52,66666666600,66666666600,5200,7200,0,0,0,0,0,9890,0,Washington,Washington-Arlington-Alexandria
11001008301,"nombre 83.01, Distrito de Columbia, Distrito de Columbia",2423,1919,14798900,79830000,169200,177700,242,0,496,0,7,12000,142,Washington,Washington-Arlington-Alexandria
11001008803,"nombre 88.03, Distrito de Columbia, Distrito de Columbia",2569,1243,2577400,24350000,33700,55400,1617,3,48,1800,5,6600,258,Washington,Washington-Arlington-Alexandria
11001009301,"nombre 5.01, Distrito de Columbia, Distrito de Columbia",3468,2709,999036776,54090000,158600,113700,1807,24,134,700,11,9890,246,Washington,Washington-Arlington-Alexandria
11001009504,"nombre 5.01, Distrito de Columbia, Distrito de Columbia",3296,2627,8369000,0,132800,96300,1744,304,94,0,0,4900,446,Washington,Washington-Arlington-Alexandria
11001000501,"nombre 5.01, Distrito de Columbia, Distrito de Columbia",3632,2980,10908100,69510000,274400,208508,162,0,128,0,0,6800,511,Washington,Washington-Arlington-Alexandria
11001001301,"nombre 13.01, Distrito de Columbia, Distrito de Columbia",4151,3272,13428200,139670000,301200,290000,457,0,366,0,0,2900,399,Washington,Washington-Arlington-Alexandria
11001002102,"nombre 21.02, Distrito de Columbia, Distrito de Columbia",5264,4072,7683600,45320000,199100,50300,3786,82,38,0,0,9400,807,Washington,Washington-Arlington-Alexandria
11001002202,"nombre 22.02, Distrito de Columbia, Distrito de Columbia",3347,2393,5481700,46420000,83900,26500,2081,7,63,0,0,7900,859,Washington,Washington-Arlington-Alexandria
11001002302,"nombre 23.02, Distrito de Columbia, Distrito de Columbia",1708,1386,6041700,30280000,79700,68500,764,0,67,0,52,6700,73,Washington,Washington-Arlington-Alexandria
11001003400,"nombre 34, Distrito de Columbia, Distrito de Columbia",4901,2210,8877200,71020000,129800,128700,2926,0,108,507,6,11200,462,Washington,Washington-Arlington-Alexandria
11001005800,"nombre 58, Distrito de Columbia, Distrito de Columbia",3039,2778,13725900,51070000,223700,185100,240,0,605,0,0,9890,237,Washington,Washington-Arlington-Alexandria
11001006400,"nombre 64, Distrito de Columbia, Distrito de Columbia",2488,1678,1945900,46520000,44800,29000,2068,9,0,0,0,0,121,Washington,Washington-Arlington-Alexandria
11001007407,"nombre 74.07, Distrito de Columbia, Distrito de Columbia",3297,2073,3441000,23960000,39400,7600,3145,0,0,0,0,2600,50,Washington,Washington-Arlington-Alexandria
11001009203,"nombre 92.03, Distrito de Columbia, Distrito de Columbia",2808,2176,7015600,49800000,89800,43600,1955,26,9,0,11,10400,267,Washington,Washington-Arlington-Alexandria
11001001302,"nombre 13.02, Distrito de Columbia, Distrito de Columbia",7563,6564,11330000,45970000,582900,496500,726,0,639,0,26,24400,963,Washington,Washington-Arlington-Alexandria
11001003700,"nombre 37, Distrito de Columbia, Distrito de Columbia",5917,4075,7944000,49950000,231700,202100,2145,0,218,0,0,6600,1467,Washington,Washington-Arlington-Alexandria
11001007304,"nombre 73.04, Distrito de Columbia, Distrito de Columbia",3592,2352,3242800,26350000,28400,16400,3278,0,0,0,0,9890,122,Washington,Washington-Arlington-Alexandria
11001009602,"nombre 96.02, Distrito de Columbia, Distrito de Columbia",3675,2033,999036776,32000000,12200,700,3492,0,0,0,23,1900,134,Washington,Washington-Arlington-Alexandria
11001004100,"nombre 41, Distrito de Columbia, Distrito de Columbia",2658,2298,14358600,97750000,214200,201200,137,0,190,0,20,6100,238,Washington,Washington-Arlington-Alexandria
11001001100,"nombre 11, Distrito de Columbia, Distrito de Columbia",4947,3840,15415600,2838168525,333200,373500,368,39,217,0,0,13400,454,Washington,Washington-Arlington-Alexandria
11001002802,"nombre 28.02, Distrito de Columbia, Distrito de Columbia",4651,3456,5981100,35340000,165100,0,1074,3,319,0,64,7700,1989,Washington,Washington-Arlington-Alexandria
11001000201,"nombre 2.01, Distrito de Columbia, Distrito de Columbia",3682,8,66666666600,66666666600,800,235100,272,7,493,0,0,12300,436,Washington,Washington-Arlington-Alexandria
11001003800,"nombre 38, Distrito de Columbia, Distrito de Columbia",5259,3117,9809300,65600000,0,279200,867,30,271,4200,44,12100,1092,Washington,Washington-Arlington-Alexandria
11001006900,"nombre 78.03, Distrito de Columbia, Distrito de Columbia",2379,1932,14406300,81570000,155800,168300,423,0,30,0,0,12300,120,Washington,Washington-Arlington-Alexandria
11001007803,"nombre 78.03, Distrito de Columbia, Distrito de Columbia",4111,2672,3720300,25170000,44000,12100,3605,29,9,0,20,900,318,Washington,Washington-Arlington-Alexandria
11001009505,"nombre 95.05, Distrito de Columbia, Distrito de Columbia",2940,2274,6711200,2838168525,88300,30600,2236,34,21,0,11,2100,324,Washington,Washington-Arlington-Alexandria
11001000701,"nombre 7.01, Distrito de Columbia, Distrito de Columbia",5643,4727,8988900,45570000,411200,432700,474,52,380,0,0,18100,229,Washington,Washington-Arlington-Alexandria
